id,author,geometry,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
27319,Thompson,,13.79,2129.0,0.0893,7.8,,591.0,2.9
27320,Thompson,tube,10.34,7893.0,,10.3,10.3,762.0,2.5
27321,,tube,0.39,5500.0,-0.0434,3.0,3.0,100.0,10.2
27322,Peskov,,10.0,5500.0,-0.068,10.0,10.0,660.0,3.1
27323,Thompson,,13.79,4584.0,,,4.7,318.0,5.6
27324,Thompson,tube,6.89,5425.0,-0.0321,10.3,10.3,762.0,6.8
27325,Thompson,tube,6.89,6212.0,,10.3,,762.0,4.6
27326,Thompson,tube,10.38,1343.0,-0.0875,4.6,4.6,229.0,7.2
27327,Thompson,tube,9.0,4069.0,,,11.5,1524.0,2.5
27328,,tube,6.79,4001.0,-0.0198,10.8,,432.0,3.9
27329,Peskov,tube,10.0,1944.0,-0.1036,,10.0,400.0,4.2
27330,Thompson,tube,3.45,3947.0,0.1494,10.3,10.3,762.0,5.3
27331,,tube,13.79,3458.0,,,1.9,152.0,5.9
27332,,annulus,6.92,381.0,0.1517,22.2,96.3,1778.0,2.1
27333,Thompson,tube,6.79,,,10.8,,864.0,4.5
27334,,annulus,,3679.0,0.0749,5.6,15.2,2134.0,2.8
27335,Thompson,,11.03,4123.0,,,11.5,914.0,2.4
27336,,tube,,,-0.0478,10.3,10.3,762.0,4.8
27337,Thompson,tube,6.89,6551.0,-0.0378,10.3,10.3,794.0,5.0
27338,Beus,annulus,15.51,1355.0,,5.6,,2134.0,1.9
27339,Williams,tube,11.03,4069.0,-0.0185,,,1836.0,2.1
27340,Thompson,,11.03,,0.0583,11.5,,914.0,3.3
27341,Janssen,annulus,6.92,,,12.7,38.1,914.0,7.2
27342,Thompson,tube,,2034.0,-0.0698,7.7,7.7,457.0,3.8
27343,Thompson,tube,13.79,912.0,,5.7,,,5.2
27344,Thompson,tube,15.51,3675.0,-0.0123,1.9,,152.0,14.7
27345,Thompson,tube,6.79,3784.0,-0.0195,10.8,10.8,432.0,4.7
27346,,annulus,6.89,,0.0196,12.7,42.3,2743.0,3.3
27347,Thompson,tube,6.89,1356.0,0.173,37.5,37.5,1953.0,4.2
27348,Thompson,tube,6.89,2767.0,0.1228,12.8,12.8,1930.0,2.2
27349,Janssen,,9.61,1500.0,-0.0373,,,1778.0,3.5
27350,,tube,6.89,2699.0,0.0383,12.8,12.8,1930.0,2.6
27351,Williams,tube,13.79,2679.0,0.0036,9.5,9.5,1836.0,2.1
27352,Weatherhead,tube,,,,7.7,7.7,,9.5
27353,Janssen,annulus,6.89,5520.0,0.0344,12.7,38.1,914.0,3.6
27354,Beus,annulus,11.03,2693.0,,5.6,15.2,2134.0,3.8
27355,Williams,,15.17,4042.0,,9.5,9.5,1836.0,1.5
27356,Thompson,tube,6.79,3825.0,-0.0289,10.3,10.3,762.0,4.3
27357,Thompson,tube,15.51,2984.0,-0.0158,1.9,1.9,152.0,3.3
27358,Beus,annulus,4.93,3852.0,,,15.2,2134.0,2.7
27359,Thompson,tube,6.89,5859.0,-0.0417,10.3,10.3,,5.0
27360,Thompson,,13.79,,0.0334,7.7,7.7,,2.0
27361,Thompson,tube,,7473.0,,23.6,23.6,,6.5
27362,,annulus,13.79,1364.0,-0.015,5.6,15.2,2134.0,2.0
27363,Thompson,tube,13.79,932.0,,,7.7,457.0,3.6
27364,Thompson,,,4055.0,-0.0427,1.9,1.9,696.0,3.6
27365,Thompson,tube,,1217.0,,4.7,4.7,318.0,2.6
27366,Thompson,tube,12.07,,,19.8,19.8,457.0,2.3
27367,Thompson,tube,18.27,,-0.1208,3.0,3.0,76.0,3.5
27368,Peskov,tube,12.0,2439.0,0.0096,10.0,10.0,1650.0,2.2
27369,Weatherhead,,,1668.0,-0.1491,7.7,,457.0,9.0
27370,Thompson,,13.79,,0.0321,7.8,7.8,591.0,2.0
27371,Thompson,tube,10.34,5750.0,,10.3,10.3,762.0,4.6
27372,,tube,13.79,,-0.2253,7.8,7.8,591.0,7.7
27373,Thompson,tube,,2238.0,-0.2049,1.9,1.9,,1.0
27374,Thompson,tube,13.79,3933.0,-0.0134,1.9,1.9,152.0,5.4
27375,Beus,annulus,11.03,2740.0,0.0253,,15.2,2134.0,1.9
27376,,tube,13.79,2129.0,0.1085,7.8,7.8,591.0,2.0
27377,Thompson,,13.79,1343.0,,10.8,10.8,457.0,4.6
27378,Thompson,tube,6.89,,-0.0274,10.3,10.3,794.0,5.8
27379,Peskov,tube,18.0,,-0.0297,10.0,10.0,1000.0,2.9
27380,,tube,15.51,,-0.1339,1.9,,696.0,1.6
27381,Thompson,tube,13.79,3201.0,0.0705,1.9,,295.0,2.9
27382,Janssen,annulus,6.89,2278.0,0.0146,12.7,42.3,2743.0,3.6
27383,Janssen,,,2319.0,-0.0404,12.7,38.1,,4.0
27384,Beus,,15.51,3684.0,0.0101,5.6,15.2,,2.1
27385,Thompson,tube,13.79,5696.0,-0.072,4.7,4.7,305.0,3.0
27386,Thompson,tube,13.79,2658.0,0.0763,7.8,7.8,591.0,2.7
27387,Williams,,,4039.0,,9.5,9.5,1836.0,1.9
27388,Thompson,tube,13.79,3648.0,-0.0714,4.7,,318.0,3.2
27389,,,6.91,,0.0823,10.8,10.8,432.0,4.9
27390,Janssen,annulus,6.89,1750.0,0.0288,6.4,,,2.7
27391,Thompson,tube,13.79,7364.0,-0.0798,,4.7,318.0,4.1
27392,Thompson,tube,10.34,3201.0,,10.3,10.3,,1.7
27393,Thompson,tube,11.03,2021.0,,,11.5,1143.0,2.8
27394,Thompson,tube,3.45,5967.0,0.0051,10.3,10.3,762.0,3.0
27395,Thompson,tube,6.89,,-0.0166,,23.6,,3.8
27396,Thompson,tube,6.93,4048.0,,,10.8,864.0,2.2
27397,Thompson,tube,18.27,,-0.1046,3.0,3.0,150.0,1.9
27398,Thompson,tube,13.79,,-0.0846,7.7,,457.0,5.0
27399,,annulus,9.68,2292.0,0.1074,12.7,42.3,1778.0,2.2
27400,Weatherhead,tube,13.79,,,11.1,11.1,457.0,2.6
27401,Janssen,,6.89,5561.0,-0.0195,,38.1,914.0,3.2
27402,Thompson,tube,6.93,3852.0,,5.6,5.6,432.0,4.2
27403,Beus,,15.51,3701.0,,,15.2,,1.7
27404,Beus,annulus,13.79,1355.0,0.1549,5.6,15.2,,2.5
27405,Thompson,tube,13.79,1410.0,-0.0616,5.7,5.7,625.0,4.0
27406,Richenderfer,,1.01,1000.0,-0.0102,15.0,15.0,10.0,5.1
27407,Thompson,tube,6.96,2007.0,0.1747,10.8,10.8,864.0,2.8
27408,Janssen,annulus,6.89,5533.0,-0.0742,6.4,15.9,914.0,4.3
27409,Richenderfer,plate,0.51,1500.0,-0.0071,,120.0,,7.9
27410,,tube,17.24,2984.0,-0.0235,1.9,,152.0,4.3
27411,Janssen,annulus,9.68,5588.0,-0.0097,6.4,15.9,914.0,4.6
27412,,tube,7.0,2061.0,,5.6,5.6,,2.3
27413,Beus,,11.03,2740.0,,5.6,,2134.0,1.9
27414,Janssen,annulus,6.92,4986.0,0.0479,22.2,96.3,1778.0,3.5
27415,Weatherhead,tube,13.79,1831.0,0.0628,11.1,11.1,457.0,2.3
27416,Thompson,,13.79,3635.0,,4.7,,318.0,3.0
27417,Janssen,,6.89,1505.0,0.0133,,42.3,1778.0,4.3
27418,Thompson,tube,6.83,4062.0,0.0145,,10.8,1727.0,8.6
27419,Thompson,tube,,4123.0,0.0302,,5.6,432.0,5.0
27420,Janssen,annulus,6.89,1668.0,0.0765,12.7,42.3,1778.0,1.8
27421,,tube,13.79,2780.0,0.0833,4.7,4.7,305.0,1.6
27422,Thompson,tube,6.89,,,23.6,23.6,610.0,3.9
27423,Janssen,annulus,6.89,5642.0,-0.0042,12.7,,,3.6
27424,Janssen,annulus,6.92,3065.0,0.1204,,24.6,,3.8
27425,Thompson,tube,13.79,1339.0,0.0894,7.8,,,2.6
27426,Thompson,tube,6.86,4069.0,0.0423,10.8,10.8,864.0,2.6
27427,Thompson,tube,13.79,5384.0,-0.0593,4.7,4.7,318.0,3.6
27428,Thompson,tube,3.45,5425.0,,10.3,,762.0,5.4
27429,Thompson,tube,17.24,2319.0,-0.0564,1.9,1.9,152.0,3.9
27430,Thompson,tube,6.89,3825.0,,10.3,,762.0,3.5
27431,Thompson,tube,6.89,3865.0,0.195,23.6,,,1.6
27432,Thompson,,13.79,,,7.8,7.8,591.0,2.4
27433,Beus,annulus,13.79,2733.0,0.1459,,,2134.0,1.9
27434,Thompson,tube,6.89,4069.0,0.0718,,5.6,432.0,2.4
27435,Thompson,tube,18.27,2740.0,-0.1223,3.0,3.0,150.0,1.8
27436,,annulus,11.03,3701.0,0.1162,5.6,15.2,2134.0,1.4
27437,Peskov,tube,,2875.0,,10.0,10.0,1650.0,2.8
27438,Thompson,,6.89,3784.0,,10.3,10.3,762.0,4.8
27439,Thompson,tube,,,0.0253,7.8,7.8,591.0,2.1
27440,Weatherhead,tube,13.79,1370.0,0.0808,7.7,7.7,,2.3
27441,,annulus,11.03,,0.0238,5.6,,2134.0,2.3
27442,,plate,,,-0.0385,,120.0,,6.8
27443,Thompson,,13.79,7473.0,0.0865,,4.7,318.0,6.8
27444,Thompson,tube,,6049.0,-0.1076,10.3,10.3,762.0,6.8
27445,Williams,tube,13.79,1333.0,,9.5,9.5,1836.0,1.3
27446,Weatherhead,tube,13.79,1682.0,,,,457.0,8.0
27447,Janssen,annulus,9.68,,0.0403,6.4,15.9,914.0,2.8
27448,,annulus,15.51,3701.0,,5.6,15.2,2134.0,1.4
27449,Thompson,tube,,3811.0,0.1508,10.3,10.3,762.0,3.8
27450,Thompson,,13.79,3445.0,0.072,4.6,4.6,295.0,3.6
27451,,tube,13.79,2455.0,,1.9,1.9,152.0,4.6
27452,Thompson,tube,13.79,2916.0,,7.8,7.8,591.0,2.3
27453,Thompson,,6.89,3580.0,0.0254,5.6,5.6,864.0,2.8
27454,,tube,13.79,2672.0,0.0685,4.6,4.6,295.0,2.3
27455,Janssen,annulus,6.91,1519.0,,8.5,22.3,,2.7
27456,,,15.51,1345.0,0.2073,5.6,15.2,2134.0,1.1
27457,Janssen,annulus,6.89,2238.0,0.1146,8.5,22.3,2743.0,2.2
27458,Weatherhead,,13.79,2048.0,,11.1,11.1,457.0,2.5
27459,Thompson,tube,6.89,,-0.0229,12.8,12.8,1930.0,3.5
27460,Thompson,tube,10.34,5832.0,,10.3,10.3,762.0,7.9
27461,Beus,annulus,,3673.0,-0.027,5.6,,2134.0,2.1
27462,Thompson,tube,6.96,,,10.8,,864.0,3.6
27463,Thompson,,6.89,2577.0,-0.0204,37.5,37.5,1953.0,5.0
27464,,tube,,,,23.6,23.6,1972.0,4.6
27465,Thompson,tube,6.86,,0.0804,10.8,10.8,864.0,2.6
27466,Beus,annulus,11.03,671.0,,5.6,15.2,2134.0,2.1
27467,Thompson,tube,3.86,4069.0,,10.8,10.8,432.0,4.4
27468,Thompson,,15.51,3974.0,,,1.9,152.0,4.4
27469,Thompson,tube,13.79,1465.0,,7.8,7.8,591.0,2.5
27470,Thompson,tube,13.79,7554.0,-0.0429,4.7,4.7,318.0,2.6
27471,,tube,6.86,,-0.0395,10.8,10.8,432.0,5.1
27472,,,,3838.0,0.0282,,10.8,864.0,6.8
27473,Thompson,tube,6.89,1336.0,,37.5,37.5,1953.0,3.0
27474,Beus,annulus,11.03,1356.0,0.1373,5.6,15.2,2134.0,1.4
27475,Thompson,,18.96,3784.0,,1.9,,152.0,3.7
27476,Thompson,,10.34,4882.0,,10.3,10.3,762.0,6.7
27477,Thompson,tube,18.96,1836.0,-0.0925,,1.9,152.0,2.7
27478,Thompson,,6.89,678.0,0.0335,12.8,,,2.6
27479,Thompson,,6.89,7405.0,-0.0434,23.6,23.6,,4.8
27480,Peskov,,7.0,3892.0,,10.8,10.8,,2.5
27481,Thompson,tube,7.05,,,,4.6,295.0,2.8
27482,Thompson,tube,6.89,,,,23.6,1972.0,2.0
27483,Beus,annulus,13.79,3701.0,,5.6,15.2,2134.0,2.0
27484,,,3.45,3811.0,,,10.3,762.0,4.7
27485,Thompson,,13.79,759.0,0.0136,7.8,7.8,591.0,2.1
27486,,tube,15.17,2676.0,0.0047,9.5,9.5,1836.0,2.5
27487,Peskov,tube,20.0,1944.0,-0.0472,,,1300.0,2.1
27488,,plate,,,,15.0,120.0,10.0,6.6
27489,Peskov,tube,10.0,4750.0,-0.0465,10.0,10.0,,4.6
27490,Beus,tube,,,,5.6,15.2,,1.3
27491,Thompson,tube,13.79,1356.0,-0.1381,,7.7,457.0,5.4
27492,Thompson,tube,,3879.0,0.0393,,,1524.0,2.6
27493,,tube,10.57,,0.0412,,9.3,,2.9
27494,,annulus,15.51,2726.0,,5.6,,,1.9
27495,Thompson,,13.79,929.0,-0.0573,,7.7,457.0,3.4
27496,Thompson,tube,14.0,1132.0,,3.0,,150.0,1.4
27497,Janssen,annulus,5.51,,,12.7,,1778.0,3.8
27498,Thompson,,,1214.0,-0.8667,3.6,3.6,76.0,3.4
27499,Thompson,tube,3.9,3784.0,0.0184,10.8,,432.0,5.5
27500,Thompson,tube,11.0,4069.0,,11.5,11.5,1524.0,8.4
27501,Beus,,13.79,2731.0,-0.008,,15.2,,2.5
27502,Thompson,,3.86,3797.0,0.0379,,10.8,432.0,4.8
27503,Thompson,tube,13.79,7107.0,,4.7,4.7,318.0,3.0
27504,Thompson,tube,12.07,1078.0,,,1.9,696.0,6.7
27505,Thompson,tube,6.89,5778.0,-0.0594,10.3,10.3,762.0,5.2
27506,Thompson,tube,10.34,3960.0,-0.0875,,10.8,,3.0
27507,Janssen,annulus,6.92,2265.0,,8.5,22.3,2743.0,2.1
27508,,tube,,1682.0,,7.7,,457.0,3.0
27509,Thompson,,13.79,,,,4.7,,2.9
27510,Janssen,annulus,6.89,833.0,-0.0158,12.7,38.1,737.0,5.9
27511,Thompson,tube,13.79,842.0,-0.1258,3.0,3.0,150.0,5.1
27512,Thompson,tube,13.79,3743.0,-0.0204,1.9,1.9,696.0,3.2
27513,Beus,annulus,,3665.0,,5.6,15.2,2134.0,1.7
27514,Thompson,,11.03,,0.0406,5.6,5.6,432.0,4.1
27515,Thompson,tube,6.89,1492.0,,12.8,12.8,,3.5
27516,Thompson,tube,6.89,7961.0,-0.0492,,10.3,762.0,7.0
27517,Thompson,tube,6.89,3784.0,,10.3,10.3,762.0,3.6
27518,Peskov,tube,,1356.0,,10.0,10.0,1650.0,1.1
27519,Thompson,,18.96,2061.0,-0.0204,1.9,,,5.6
27520,Inasaka,,0.1,6700.0,-0.0077,15.0,,10.0,19.3
27521,Williams,,15.17,4062.0,,,9.5,1836.0,1.8
27522,Janssen,annulus,,,,22.2,96.3,1778.0,2.4
27523,Thompson,tube,6.89,678.0,,23.6,23.6,,3.4
27524,Peskov,tube,16.0,,-0.0466,,10.0,565.0,2.6
27525,Thompson,tube,10.34,6062.0,-0.0482,10.3,10.3,762.0,6.8
27526,Thompson,tube,10.34,3906.0,,10.3,10.3,762.0,5.4
27527,Weatherhead,tube,13.79,1994.0,-0.2599,7.7,7.7,457.0,2.1
27528,Thompson,,10.34,7500.0,,10.3,10.3,,5.1
27529,Thompson,,17.24,3743.0,,1.9,1.9,152.0,3.4
27530,Thompson,tube,13.79,3174.0,-0.0358,,1.9,152.0,3.0
27531,Thompson,tube,12.07,2455.0,,1.9,,696.0,2.2
27532,Thompson,tube,18.96,3784.0,,1.9,,696.0,3.6
27533,,tube,13.79,332.0,,11.1,11.1,457.0,2.6
27534,Thompson,tube,10.34,3933.0,-0.0663,10.3,10.3,,4.6
27535,,tube,10.34,4842.0,,10.3,10.3,762.0,6.6
27536,Thompson,tube,13.79,2684.0,0.1212,7.7,7.7,,2.2
27537,Thompson,tube,6.89,1214.0,0.1128,12.8,12.8,1930.0,3.9
27538,Thompson,,6.89,4092.0,,10.8,10.8,1524.0,2.0
27539,Thompson,tube,10.34,4896.0,-0.1212,10.3,10.3,762.0,6.7
27540,Thompson,tube,13.79,,,,7.8,591.0,5.9
27541,Beus,annulus,,,0.0537,5.6,15.2,2134.0,2.0
27542,Thompson,tube,13.79,,,4.7,4.7,318.0,2.4
27543,Thompson,tube,12.07,4042.0,,1.9,1.9,696.0,2.5
27544,,,13.79,,0.0334,7.7,7.7,457.0,2.3
27545,Thompson,,,,,4.7,4.7,305.0,3.5
27546,Thompson,tube,13.79,1533.0,0.0833,7.8,7.8,591.0,1.9
27547,Thompson,tube,13.79,6198.0,0.0648,4.7,4.7,318.0,2.3
27548,Peskov,tube,18.0,1221.0,-0.1339,10.0,,1300.0,2.4
27549,Thompson,tube,13.79,4774.0,-0.0431,4.7,4.7,318.0,5.7
27550,,tube,18.96,2957.0,-0.0925,1.9,1.9,152.0,4.8
27551,Janssen,,5.52,1519.0,,12.7,42.3,1778.0,2.1
27552,Beus,,13.79,3701.0,,5.6,15.2,2134.0,1.8
27553,Thompson,tube,10.34,3838.0,-0.0373,10.3,10.3,762.0,12.8
27554,Peskov,tube,16.0,1944.0,-0.0472,10.0,10.0,660.0,5.7
27555,Weatherhead,tube,13.79,1356.0,,7.7,7.7,457.0,2.9
27556,Williams,tube,13.79,,,9.5,9.5,,0.9
27557,Thompson,tube,,7975.0,-0.1977,10.3,,762.0,8.9
27558,Thompson,tube,13.79,2685.0,-0.0389,7.7,,457.0,3.2
27559,Thompson,tube,13.79,1021.0,,7.8,7.8,591.0,2.0
27560,Thompson,tube,6.79,3838.0,-0.0668,,,432.0,3.6
27561,,tube,17.24,,-0.0045,1.9,1.9,152.0,4.5
27562,Kossolapov,,,630.0,,15.0,,10.0,3.1
27563,Thompson,tube,13.79,5574.0,-0.4486,4.7,4.7,318.0,4.5
27564,Weatherhead,tube,13.79,,-0.0105,11.1,11.1,457.0,2.0
27565,Thompson,,6.89,734.0,-0.0416,,10.3,762.0,5.7
27566,Thompson,tube,13.79,5262.0,,5.7,5.7,625.0,7.3
27567,Thompson,tube,6.89,5479.0,-0.0601,23.6,23.6,1972.0,3.8
27568,Thompson,tube,6.86,1858.0,-0.0672,10.8,10.8,216.0,3.1
27569,,,7.0,1031.0,0.0817,10.8,,432.0,4.2
27570,Janssen,annulus,6.89,2319.0,0.0379,12.7,38.1,737.0,2.5
27571,Thompson,tube,11.0,2251.0,-0.103,1.9,1.9,696.0,2.5
27572,Thompson,tube,6.89,4001.0,,10.8,10.8,432.0,5.3
27573,Thompson,,7.0,3770.0,0.1702,10.8,10.8,864.0,2.9
27574,Williams,tube,,4062.0,,,9.5,1836.0,6.8
27575,Thompson,tube,3.45,5845.0,-0.1141,10.3,10.3,762.0,5.7
27576,Thompson,tube,13.79,4150.0,-0.0576,5.6,5.6,216.0,2.4
27577,Weatherhead,tube,13.79,1994.0,0.0884,7.7,7.7,457.0,1.7
27578,Janssen,annulus,,2767.0,-0.0202,,,914.0,11.3
27579,Thompson,tube,10.34,,,10.3,10.3,762.0,4.6
27580,Thompson,tube,13.79,3486.0,0.071,4.6,,295.0,2.2
27581,,tube,,1356.0,0.1405,7.7,7.7,,2.2
27582,Thompson,tube,6.79,1000.0,-0.0975,10.8,10.8,432.0,4.9
27583,Thompson,tube,13.79,1302.0,,4.7,4.7,,3.4
27584,Thompson,tube,6.89,4503.0,,10.3,10.3,,5.7
27585,Williams,tube,11.03,1533.0,0.0922,9.5,9.5,1836.0,2.9
27586,Thompson,tube,10.51,4136.0,0.0587,4.6,4.6,229.0,6.5
27587,Thompson,tube,18.96,1885.0,-0.3657,1.9,1.9,152.0,3.5
27588,Thompson,tube,,,-0.3263,4.7,4.7,318.0,7.8
27589,Thompson,,13.79,1351.0,0.0334,7.7,7.7,457.0,2.3
27590,Weatherhead,tube,,685.0,0.0295,11.1,,457.0,2.3
27591,Beus,annulus,11.03,1355.0,-0.0195,5.6,15.2,2134.0,2.0
27592,Thompson,tube,6.89,7500.0,-0.0251,10.3,10.3,762.0,6.4
27593,,annulus,13.79,3701.0,0.0515,5.6,15.2,2134.0,1.5
27594,Richenderfer,,0.1,2000.0,,,120.0,10.0,4.1
27595,Thompson,tube,13.79,6198.0,-0.1046,4.7,,318.0,6.7
27596,Janssen,,9.68,5547.0,-0.0058,,38.1,914.0,4.1
27597,Weatherhead,tube,13.79,666.0,,11.1,11.1,457.0,3.6
27598,Thompson,tube,13.79,1370.0,,7.7,7.7,457.0,2.7
27599,Thompson,tube,13.79,1339.0,0.1904,7.7,7.7,,2.6
27600,Thompson,tube,,3784.0,,,7.8,591.0,2.8
27601,Thompson,,13.79,,-0.0349,7.8,7.8,591.0,3.8
27602,Janssen,annulus,6.85,1533.0,,,22.3,1829.0,2.3
27603,Thompson,tube,13.79,,0.0847,7.8,7.8,591.0,4.7
27604,Thompson,tube,,1217.0,,3.0,,,2.6
27605,Thompson,tube,13.79,,,4.6,4.6,295.0,2.8
27606,Beus,annulus,,1340.0,,5.6,15.2,2134.0,3.9
27607,Thompson,tube,15.51,2061.0,,1.9,1.9,152.0,3.7
27608,Thompson,tube,18.27,2875.0,,3.0,,25.0,2.8
27609,Williams,tube,13.79,1339.0,0.1282,9.5,9.5,1836.0,1.5
27610,Thompson,tube,13.79,7107.0,0.0043,4.7,4.7,318.0,3.3
27611,Thompson,tube,6.89,4055.0,0.0475,5.6,5.6,432.0,1.6
27612,Thompson,tube,6.89,3797.0,-0.1208,10.3,10.3,762.0,6.7
27613,Thompson,tube,,4054.0,0.0611,10.8,10.8,864.0,8.3
27614,Thompson,tube,6.86,3458.0,,10.8,10.8,864.0,4.3
27615,Thompson,tube,3.45,7880.0,,10.3,10.3,,4.4
27616,Thompson,,11.03,4069.0,0.0839,11.5,11.5,,2.8
27617,Thompson,tube,13.79,2780.0,0.1077,4.7,,305.0,2.5
27618,Janssen,annulus,6.89,1546.0,0.1215,8.5,22.3,2591.0,2.4
27619,Thompson,tube,13.79,3608.0,,4.7,4.7,318.0,3.2
27620,Peskov,tube,16.0,,-0.0465,10.0,10.0,,5.1
27621,Thompson,tube,6.89,,-0.0601,,23.6,1972.0,9.4
27622,Weatherhead,,13.79,1383.0,0.0077,7.7,7.7,457.0,3.0
27623,Williams,tube,,2676.0,,9.5,9.5,1836.0,2.5
27624,Janssen,annulus,5.51,1519.0,,12.7,,1778.0,2.1
27625,,tube,13.79,2034.0,-0.0483,11.1,11.1,457.0,2.8
27626,Thompson,tube,6.89,3838.0,,10.8,10.8,432.0,5.3
27627,Peskov,tube,,1617.0,-0.0514,10.0,10.0,890.0,2.5
27628,Weatherhead,tube,13.79,1316.0,,11.1,11.1,457.0,0.9
27629,Weatherhead,tube,,1410.0,,11.1,11.1,,2.6
27630,Thompson,tube,6.89,3770.0,,23.6,23.6,,3.9
27631,Thompson,tube,12.07,,0.0001,1.9,1.9,,4.5
27632,Thompson,,,1078.0,,4.7,4.7,318.0,2.3
27633,Weatherhead,tube,13.79,2699.0,,11.1,11.1,457.0,2.8
27634,Thompson,tube,13.79,1356.0,0.12,,7.8,591.0,1.2
27635,Thompson,tube,6.89,4069.0,0.0179,10.8,10.8,864.0,2.5
27636,,tube,0.1,3730.0,-0.0373,,,38.0,8.9
27637,Janssen,,6.72,5615.0,0.0036,6.4,15.9,914.0,2.4
27638,Thompson,tube,7.0,2034.0,0.0428,9.3,9.3,,2.2
27639,Thompson,,13.79,2373.0,0.0931,7.8,7.8,,2.0
27640,Thompson,tube,7.0,1017.0,-0.1355,,10.8,216.0,8.1
27641,Thompson,tube,10.34,4042.0,,10.3,,762.0,4.9
27642,,tube,13.79,2645.0,-0.0071,7.7,,457.0,4.5
27643,Thompson,tube,17.24,2034.0,-0.0565,1.9,1.9,152.0,3.9
27644,Kossolapov,plate,6.91,2278.0,-0.0466,,120.0,,7.9
27645,Thompson,tube,11.0,4069.0,0.1212,11.5,11.5,1524.0,2.6
27646,Beus,annulus,15.51,1345.0,0.0115,5.6,15.2,,2.7
27647,,tube,,2034.0,-0.0975,1.9,1.9,152.0,3.7
27648,Richenderfer,plate,0.51,1000.0,-0.1223,15.0,120.0,,6.6
27649,,tube,,5913.0,-0.0677,10.3,10.3,762.0,6.5
27650,Thompson,,12.07,3458.0,,1.9,1.9,,3.2
27651,Weatherhead,tube,13.79,1343.0,0.0823,11.1,11.1,457.0,1.9
27652,Thompson,,6.89,678.0,0.0702,23.6,23.6,,2.6
27653,Janssen,annulus,6.89,,0.0649,8.5,22.3,2743.0,2.4
27654,Thompson,tube,13.79,2306.0,,1.9,1.9,152.0,5.0
27655,Janssen,annulus,,2807.0,,6.4,,914.0,3.1
27656,Beus,annulus,,,,5.6,15.2,2134.0,2.8
27657,Thompson,,13.79,2760.0,,4.7,4.7,,2.6
27658,Thompson,tube,6.89,4774.0,0.0267,,4.7,318.0,4.8
27659,,tube,6.89,5289.0,-0.0378,10.3,10.3,794.0,7.7
27660,Thompson,,13.79,,-0.3247,4.7,4.7,318.0,6.5
27661,Thompson,tube,,,0.0907,10.8,10.8,432.0,3.7
27662,Thompson,tube,3.69,4069.0,,10.8,10.8,432.0,6.7
27663,Thompson,tube,13.79,2265.0,0.0505,7.8,7.8,591.0,3.6
27664,Williams,tube,15.17,4092.0,0.0047,,9.5,1836.0,3.9
27665,Thompson,,6.89,1912.0,0.0008,12.8,12.8,1930.0,1.5
27666,Thompson,tube,6.89,4056.0,0.0049,10.8,10.8,864.0,4.2
27667,,tube,17.24,2889.0,-0.1977,1.9,1.9,152.0,3.9
27668,Thompson,tube,13.79,1356.0,0.0081,7.7,7.7,,2.3
27669,Thompson,tube,,3997.0,-0.1418,4.7,,318.0,8.0
27670,Thompson,tube,10.34,,-0.0563,,10.3,,6.6
27671,,annulus,6.85,2807.0,-0.0369,6.4,,,6.8
27672,Williams,tube,13.79,2731.0,,,9.5,1836.0,2.4
27673,Beus,annulus,11.03,2693.0,,5.6,15.2,2134.0,1.3
27674,Thompson,tube,,4062.0,,10.8,,864.0,4.7
27675,Thompson,,6.89,,,,,610.0,2.9
27676,,annulus,,,0.0032,12.7,42.3,1778.0,3.5
27677,Thompson,tube,13.79,5791.0,0.0192,4.7,4.7,318.0,3.4
27678,Beus,annulus,15.51,1354.0,0.0707,5.6,15.2,2134.0,1.6
27679,Thompson,tube,13.79,7731.0,-0.0622,4.7,,318.0,7.3
27680,Thompson,tube,6.89,5723.0,0.0134,10.3,,794.0,2.6
27681,Weatherhead,tube,13.79,1318.0,0.1897,,11.1,457.0,1.8
27682,Thompson,tube,6.96,4096.0,0.1198,10.8,10.8,432.0,2.4
27683,Thompson,tube,6.89,3730.0,-0.0453,,12.8,1930.0,4.6
27684,Thompson,tube,6.89,4069.0,0.0415,10.8,10.8,,3.9
27685,Weatherhead,tube,13.79,1302.0,0.0249,7.7,7.7,457.0,2.3
27686,Thompson,tube,13.79,1899.0,-0.0195,4.7,4.7,318.0,3.0
27687,,tube,15.51,2319.0,,,1.9,152.0,2.5
27688,Thompson,tube,6.86,4069.0,,5.6,5.6,432.0,2.7
27689,Thompson,tube,3.45,3743.0,,10.3,10.3,762.0,4.5
27690,Thompson,tube,3.45,3784.0,,10.3,10.3,762.0,5.9
27691,Thompson,tube,6.89,1899.0,-0.0251,10.3,10.3,762.0,3.8
27692,Thompson,tube,10.41,1383.0,0.1261,4.6,4.6,229.0,3.6
27693,Thompson,,18.96,7093.0,,1.9,1.9,152.0,5.0
27694,Thompson,tube,10.34,3960.0,0.0625,10.3,,762.0,2.0
27695,Thompson,,6.89,3513.0,0.0141,10.8,10.8,,4.8
27696,Thompson,tube,6.93,4069.0,0.0827,11.5,11.5,2007.0,2.0
27697,Thompson,,10.24,1926.0,0.0332,4.6,,229.0,2.2
27698,Thompson,tube,3.45,,0.0818,10.3,10.3,762.0,4.4
